"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total - all NACE activities","Tonne","3,759,153,275.78","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Agriculture, forestry and fishing","Tonne","484,162,384.16","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Mining and quarrying","Tonne","78,877,912.55","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Manufacturing","Tonne","994,204,132.63","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Electricity, gas, steam and air conditioning supply","Tonne","1,220,064,885.86","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Water supply; sewerage, waste management and remediation activities","Tonne","169,743,865.79","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Construction","Tonne","59,059,608.89","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne","96,372,913.26","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Transportation and storage","Tonne","470,409,321.82","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Accommodation and food service activities","Tonne","19,523,534.54","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Information and communication","Tonne","9,477,138.25","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Financial and insurance activities","Tonne","10,074,440.58","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Real estate activities","Tonne","6,678,691.1","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Professional, scientific and technical activities","Tonne","21,186,102.69","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Administrative and support service activities","Tonne","19,164,814.6","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Public administration and defence; compulsory social security","Tonne","32,815,354.11","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Education","Tonne","18,468,532.78","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Human health and social work activities","Tonne","28,675,195.42","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Arts, entertainment and recreation","Tonne","8,434,298.04","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Other service activities","Tonne","11,532,325.67","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne","227,182.53","s"
"2008","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Activities of extraterritorial organisations and bodies","Tonne","640.5","s"
"2008","European Union - 28 countries (2013-2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total - all NACE activities","Tonne","4,319,514,904.54","s"
"2008","European Union - 28 countries (2013-2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Agriculture, forestry and fishing","Tonne","530,609,874.19","s"
"2008","European Union - 28 countries (2013-2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Mining and quarrying","Tonne","106,748,539.88","s"
"2008","European Union - 28 countries (2013-2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Manufacturing","Tonne","1,103,567,521.54","s"
"2008","European Union - 28 countries (2013-2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Electricity, gas, steam and air conditioning supply","Tonne","1,402,014,971.78","s"
