TIME,GEO,NACE_R2,Emissions
2008,European Union,Total - all NACE activities,4319514904.54
2008,European Union,"Agriculture, forestry and fishing",530609874.19
2008,European Union,Mining and quarrying,106748539.88
2008,European Union,Manufacturing,1103567521.54
2008,European Union,"Electricity, gas, steam and air conditioning supply",1402014971.78
2008,European Union,"Water supply; sewerage, waste management and remediation activities",210640737.98
2008,European Union,Construction,72024242.4
2008,European Union,Wholesale and retail trade; repair of motor vehicles and motorcycles,114587676.45
2008,European Union,Transportation and storage,561570303.09
2008,European Union,Accommodation and food service activities,23301232.69
2008,European Union,Information and communication,11083462.43
2008,European Union,Financial and insurance activities,10164375.65
2008,European Union,Real estate activities,7490794.59
2008,European Union,"Professional, scientific and technical activities",23765159.31
2008,European Union,Administrative and support service activities,22334111.03
2008,European Union,Public administration and defence; compulsory social security,40186322.97
2008,European Union,Education,22208179.84
2008,European Union,Human health and social work activities,33864493.21
2008,European Union,"Arts, entertainment and recreation",9965465.16
2008,European Union,Other service activities,13047490.23
2008,European Union,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,339309.62
2008,European Union,Activities of extraterritorial organisations and bodies,640.5
2008,Belgium,Total - all NACE activities,110492059.78
2008,Belgium,"Agriculture, forestry and fishing",12261052.18
2008,Belgium,Mining and quarrying,816107.09
2008,Belgium,Manufacturing,46014260.36
2008,Belgium,"Electricity, gas, steam and air conditioning supply",21110374.25
2008,Belgium,"Water supply; sewerage, waste management and remediation activities",3205294.44
2008,Belgium,Construction,2428262.66
2008,Belgium,Wholesale and retail trade; repair of motor vehicles and motorcycles,2776098.33
2008,Belgium,Transportation and storage,14194794.69
2008,Belgium,Accommodation and food service activities,538840.56
2008,Belgium,Information and communication,280628.47
2008,Belgium,Financial and insurance activities,252324.8
2008,Belgium,Real estate activities,131240.6
2008,Belgium,"Professional, scientific and technical activities",917473.01
2008,Belgium,Administrative and support service activities,1155737.43
2008,Belgium,Public administration and defence; compulsory social security,1650170.88
2008,Belgium,Education,963172.62
2008,Belgium,Human health and social work activities,1018565.38
2008,Belgium,"Arts, entertainment and recreation",250613.83
2008,Belgium,Other service activities,480068.55
2008,Belgium,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,46979.64
2008,Belgium,Activities of extraterritorial organisations and bodies,0.0
2008,Bulgaria,Total - all NACE activities,57869273.92
2008,Bulgaria,"Agriculture, forestry and fishing",4513982.88
2008,Bulgaria,Mining and quarrying,341259.38
2008,Bulgaria,Manufacturing,10200956.05
2008,Bulgaria,"Electricity, gas, steam and air conditioning supply",36262997.93
2008,Bulgaria,"Water supply; sewerage, waste management and remediation activities",87705.84
2008,Bulgaria,Construction,667213.31
2008,Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,464068.51
2008,Bulgaria,Transportation and storage,4350540.59
2008,Bulgaria,Accommodation and food service activities,72558.0
2008,Bulgaria,Information and communication,39584.19
2008,Bulgaria,Financial and insurance activities,31878.73
2008,Bulgaria,Real estate activities,19926.82
2008,Bulgaria,"Professional, scientific and technical activities",55975.74
2008,Bulgaria,Administrative and support service activities,61464.94
2008,Bulgaria,Public administration and defence; compulsory social security,85515.24
2008,Bulgaria,Education,440632.29
2008,Bulgaria,Human health and social work activities,135538.17
2008,Bulgaria,"Arts, entertainment and recreation",18941.15
2008,Bulgaria,Other service activities,18534.1
2008,Bulgaria,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Bulgaria,Activities of extraterritorial organisations and bodies,0.07
2008,Czechia,Total - all NACE activities,124070420.04
2008,Czechia,"Agriculture, forestry and fishing",8374493.76
2008,Czechia,Mining and quarrying,10126518.52
2008,Czechia,Manufacturing,28935557.91
2008,Czechia,"Electricity, gas, steam and air conditioning supply",56944289.87
2008,Czechia,"Water supply; sewerage, waste management and remediation activities",5036756.53
2008,Czechia,Construction,2811122.76
2008,Czechia,Wholesale and retail trade; repair of motor vehicles and motorcycles,883475.46
2008,Czechia,Transportation and storage,8459389.74
2008,Czechia,Accommodation and food service activities,107900.32
2008,Czechia,Information and communication,108631.71
2008,Czechia,Financial and insurance activities,65997.49
2008,Czechia,Real estate activities,410970.97
2008,Czechia,"Professional, scientific and technical activities",144861.46
2008,Czechia,Administrative and support service activities,315670.15
2008,Czechia,Public administration and defence; compulsory social security,221574.12
2008,Czechia,Education,260020.95
2008,Czechia,Human health and social work activities,531343.55
2008,Czechia,"Arts, entertainment and recreation",76772.76
2008,Czechia,Other service activities,255072.01
2008,Czechia,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Czechia,Activities of extraterritorial organisations and bodies,0.0
2008,Denmark,Total - all NACE activities,99937211.77
2008,Denmark,"Agriculture, forestry and fishing",12917793.52
2008,Denmark,Mining and quarrying,2381030.92
2008,Denmark,Manufacturing,7024818.02
2008,Denmark,"Electricity, gas, steam and air conditioning supply",21490222.24
2008,Denmark,"Water supply; sewerage, waste management and remediation activities",2401669.68
2008,Denmark,Construction,1560453.73
2008,Denmark,Wholesale and retail trade; repair of motor vehicles and motorcycles,1534218.44
2008,Denmark,Transportation and storage,48771604.73
2008,Denmark,Accommodation and food service activities,204512.91
2008,Denmark,Information and communication,132106.88
2008,Denmark,Financial and insurance activities,75735.19
2008,Denmark,Real estate activities,111463.17
2008,Denmark,"Professional, scientific and technical activities",186611.05
2008,Denmark,Administrative and support service activities,281875.13
2008,Denmark,Public administration and defence; compulsory social security,289892.51
2008,Denmark,Education,127319.04
2008,Denmark,Human health and social work activities,281706.11
2008,Denmark,"Arts, entertainment and recreation",66849.14
2008,Denmark,Other service activities,97329.36
2008,Denmark,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Denmark,Activities of extraterritorial organisations and bodies,0.0
2008,Germany,Total - all NACE activities,841639179.97
2008,Germany,"Agriculture, forestry and fishing",72982452.69
2008,Germany,Mining and quarrying,12870349.02
2008,Germany,Manufacturing,193465525.31
2008,Germany,"Electricity, gas, steam and air conditioning supply",363028668.1
2008,Germany,"Water supply; sewerage, waste management and remediation activities",27929921.6
2008,Germany,Construction,8845811.9
2008,Germany,Wholesale and retail trade; repair of motor vehicles and motorcycles,18404450.9
2008,Germany,Transportation and storage,95372288.66
2008,Germany,Accommodation and food service activities,3817748.24
2008,Germany,Information and communication,4137470.73
2008,Germany,Financial and insurance activities,2080092.33
2008,Germany,Real estate activities,1155282.5
2008,Germany,"Professional, scientific and technical activities",8976299.86
2008,Germany,Administrative and support service activities,1148119.59
2008,Germany,Public administration and defence; compulsory social security,8342775.45
2008,Germany,Education,4920143.18
2008,Germany,Human health and social work activities,6978679.09
2008,Germany,"Arts, entertainment and recreation",3011754.59
2008,Germany,Other service activities,4171346.25
2008,Germany,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Germany,Activities of extraterritorial organisations and bodies,0.0
2008,Estonia,Total - all NACE activities,19710201.0
2008,Estonia,"Agriculture, forestry and fishing",1513330.85
2008,Estonia,Mining and quarrying,122406.67
2008,Estonia,Manufacturing,2628393.63
2008,Estonia,"Electricity, gas, steam and air conditioning supply",12073872.85
2008,Estonia,"Water supply; sewerage, waste management and remediation activities",532120.45
2008,Estonia,Construction,218531.94
2008,Estonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,200103.64
2008,Estonia,Transportation and storage,1762409.81
2008,Estonia,Accommodation and food service activities,34679.1
2008,Estonia,Information and communication,14233.3
2008,Estonia,Financial and insurance activities,6267.02
2008,Estonia,Real estate activities,86579.16
2008,Estonia,"Professional, scientific and technical activities",40680.54
2008,Estonia,Administrative and support service activities,38468.24
2008,Estonia,Public administration and defence; compulsory social security,287965.49
2008,Estonia,Education,77466.15
2008,Estonia,Human health and social work activities,29925.0
2008,Estonia,"Arts, entertainment and recreation",23908.31
2008,Estonia,Other service activities,18858.2
2008,Estonia,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.67
2008,Estonia,Activities of extraterritorial organisations and bodies,0.0
2008,Ireland,Total - all NACE activities,51497991.41
2008,Ireland,"Agriculture, forestry and fishing",19001592.05
2008,Ireland,Mining and quarrying,339417.14
2008,Ireland,Manufacturing,9037245.09
2008,Ireland,"Electricity, gas, steam and air conditioning supply",14228088.11
2008,Ireland,"Water supply; sewerage, waste management and remediation activities",1539565.68
2008,Ireland,Construction,325575.23
2008,Ireland,Wholesale and retail trade; repair of motor vehicles and motorcycles,1028117.29
2008,Ireland,Transportation and storage,2873792.0
2008,Ireland,Accommodation and food service activities,502228.46
2008,Ireland,Information and communication,142043.94
2008,Ireland,Financial and insurance activities,66454.61
2008,Ireland,Real estate activities,61623.47
2008,Ireland,"Professional, scientific and technical activities",230023.73
2008,Ireland,Administrative and support service activities,208559.94
2008,Ireland,Public administration and defence; compulsory social security,793389.52
2008,Ireland,Education,292954.83
2008,Ireland,Human health and social work activities,516800.37
2008,Ireland,"Arts, entertainment and recreation",181525.06
2008,Ireland,Other service activities,128994.9
2008,Ireland,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Ireland,Activities of extraterritorial organisations and bodies,0.0
2008,Greece,Total - all NACE activities,109477660.33
2008,Greece,"Agriculture, forestry and fishing",11476881.48
2008,Greece,Mining and quarrying,801248.95
2008,Greece,Manufacturing,19439844.22
2008,Greece,"Electricity, gas, steam and air conditioning supply",54078893.38
2008,Greece,"Water supply; sewerage, waste management and remediation activities",4831119.37
2008,Greece,Construction,949149.87
2008,Greece,Wholesale and retail trade; repair of motor vehicles and motorcycles,448168.24
2008,Greece,Transportation and storage,8833131.38
2008,Greece,Accommodation and food service activities,1380876.81
2008,Greece,Information and communication,96381.79
2008,Greece,Financial and insurance activities,180257.64
2008,Greece,Real estate activities,7784.04
2008,Greece,"Professional, scientific and technical activities",363277.02
2008,Greece,Administrative and support service activities,171650.71
2008,Greece,Public administration and defence; compulsory social security,3342767.76
2008,Greece,Education,1271510.75
2008,Greece,Human health and social work activities,1352962.87
