TIME,GEO,NACE_R2,Emissions
2008,European Union,Total - all NACE activities,4319514904.54
2009,European Union,Total - all NACE activities,3936730424.67
2010,European Union,Total - all NACE activities,4018802532.36
2011,European Union,Total - all NACE activities,3939748283.69
2012,European Union,Total - all NACE activities,3875015939.27
2013,European Union,Total - all NACE activities,3766344324.59
2014,European Union,Total - all NACE activities,3663795888.98
2015,European Union,Total - all NACE activities,3672893811.59
2016,European Union,Total - all NACE activities,3638095837.98
2017,European Union,Total - all NACE activities,3669182916.35
2018,European Union,Total - all NACE activities,3587110427.55
